-al	al
knuta	knˈuta
knutový	knˈutoviː
knäckebrot	knɛkɛbrot
knír	kɲˈiːr
knížce	kɲiːʃtsɛ
kníže	kɲiːʒɛ
knížectví	kniːʒɛtsdviː
knížecí	kɲiːʒɛtsiː
knížek	kɲiːʒɛk
knížete	kɲiːʒɛtɛ
knížečka	kɲiːʒɛtʃka
knížka	kɲiːʃka
knížka	kɲˈiːʃka
knížkami	kɲiːʃkamɪ
knížko	kɲˈiːʃko
knížkou	kɲiːʃkou
knížku	kɲiʃku
knížku	kɲˈiːʃku
knížky	kɲiːtʃkɪ
knížky	kɲiːʃkɪ
knížkách	kɲˈiːʃkaːx
knížkám	kɲˈiːʃkaːm
kněh	kɲɛx
kněždub	knjɛʒdʒup
kněžen	kɲɛʒɛn
kněževes	kɲɛʒɛvɛs
kněžice	knɛʒɪtsɛ
kněžka	kɲiɛʃka
kněžmost	kɲɛʒmost
kněžna	knjɛʐna
kněžna	kɲɛʒna
kněžnami	kɲɛʒnamɪ
kněžno	kɲɛʒno
kněžnou	kɲɛʒnou
kněžnu	kɲɛʒnu
kněžny	kɲɛʒnɪ
kněžná	knɛʒnaː
kněžnách	kɲɛʒnaːx
kněžnám	kɲɛʒnaːm
kněžně	kɲɛʒɲɛ
kněžský	kɲɛʃskiː
kněží	knɪʒiː
kněží	kɲɛʒiː
ko-	ko
koadjutor	kˈoadjˌutor
koalic	koalɪts
koalice	koalɪtsɛ
koalici	koalɪtsɪ
koaliční	koalɪtʃɲiː
koaxiální	koaksɪaːlɲiː
kobalt	kɔbalt
kobalt	kˈobalt
kobaltový	kˈobaltˌoviː
kober	kobɛr
kobercový	kobɛrtsoviː
kobercářský	kobɛrtsaːr̝skiː
koberec	kobarɛts
koberec	kobɛrɛts
kobereček	kobarɛtʃɛk
kobereček	kobɛrɛtʃɛk
kobeřice	kobɛʒɪtsɛ
kobka	kˈopka
kobka	opka
koblih	koblɪx
kobliha	koblɪɦa
koblihami	koblɪɦamɪ
koblihem	koblɪɦɛm
kobliho	koblɪɦo
koblihou	koblɪɦou
koblihu	koblɪɦu
koblihy	koblɪɦɪ
koblihách	koblɪɦaːx
koblihám	koblɪɦaːm
koblihář	koblɪɦaːr̝
koblihů	koblɪɦuː
koblihům	koblɪɦuːm
koblize	koblɪzɛ
koblizích	koblɪziːx
koblížek	kobliːˈiːʒɛk
koblížek	obliːʒɛk
kobold	kˈobolt
kobra	kɔbra
kobra	kˈobra
kobrami	kobramɪ
kobro	kˈobro
kobrou	kobrou
kobru	kˈobru
kobry	kobrɪ
kobrách	kˈobraːx
kobrám	kˈobraːm
kobyla	kobɪla
kobylinec	kobɪlɪnɛts
kobylka	kobɪlka
kobylí	kobɪliː
kobře	kobr̝ɛ
kocanda	kˈotsanda
kocbeře	kɔtsbɛr̝ɛ
kochat	kˈoxat
kochat se	kɔxatsɛ
kocháš se	kˈoxaːʃsɛ
kocián	kotsɪaːn
kocour	kotsour
kocourek	kotsourɛk
kocourek	kɔtsourɛk
kocourův	kotsouruːf
kocouří	kotsour̝iː
kocovina	kotsovɪna
kocovina	kotsːovɪna
kocába	kɔtsaːba
kod	kˈot
kodat	ko̞t̪ʃat̪
kodaň	kˈodaɲ
kodaňský	kˈodaɲskiː
kodeřičová	kodɛr̝ɪtʃovaː
kodulka	kˈodulka
koeficient	koɛfɪtsɪjɛnt
koflík	kˈofliːk
kofola	kofoˈla
kofroň	kˈofroɲ
koga	koga
kogentní	kogɛntɲiː
kognitivní	kognɪtɪvɲiː
koherentní	koɦɛrɛntɲiː
kohn	koɔn
koho	koho
koho	koɦo
kohout	koɦout
kohouta	koɦou̯ta
kohoutek	koɦoutɛk
kohoutek u pušky	koɦoutɛkupuʃkɪ
kohoutí	koɦouciː
kohoutův	koɦoutuːf
kohyponymum	koɦoponɪmum
koincidence	koɪntsɪdɛntsɛ
koitus	kojtus
koitus	koɪtus
koitální	koɪtaːlɲiː
kojence	kojɛntsɛ
kojenec	kojɛnɛts
kojený	kojɛniː
kojetice	kojɛcɪtsɛ
kojetin	kojɛtiːn
kojit	koɪɪt
kojná	kˈojnaː
kojné	kojnɛː
kojot	kˈojot
kojotí	kˈojociː
kok	kˈok
koka	kˈoka
kokain	kokajn
kokainový	kokajnoviː
kokainu	kokaɪnu
kokaisl	kokajzl
kokarda	kˈokarda
koketa	kɔkɛta
koketní	kokɛtɲiː
koketovat	koˈkɛtːoˈvat
kokeš	kokɛʃ
kokeši	kokɛʃɪ
kokila	kokɪla
kokino	kokɪno
koko	kˈoko
kokodák	kˈokodaːk
kokokodák	kˈokokˌodaːk
kokon	kˈokon
kokoska	kˈokoska
kokosový	kˈokosˌoviː
kokot	koˈkot
kokot	kˈokot
kokotice	kokocɪtsɛ
kokotina	kokocɪna
kokoška	kˈokoʃka
kokpit	kokpɪt
kokpit	kɔkpɪt
kokrhat	kokrɦat
kokršpaněl	kokrʃpaɲɛl
koks	koːks
koks	kˈoks
koksárenský plyn	koksaːrɛnskiːplɪn
koktat	kˈoktat
koktati	koktacɪ
koktavý	kˈoktaviː
koktejl	koktɛjl
koku	kˈoku
koky	kokɪ
kol	kˈol
kola	kɔla
kola	kˈola
kolaborace	kolaboratsɛ
kolaborantů	kˈolabˌorantuː
kolaborné	kolabornɛː
kolabovat	kˈolabˌovat
kolagen	koˈlagɛm
kolaps	kˈolaps
kolapsu	kˈolapsu
kolaterální	kolatɛraːlɲiː
kolatura	kˈolatˌura
kolaudační	kolaudatʃɲiː
kolaudovat	kolauːdovat
kolben	kolbɛn
kolbišti	kolbɪʃcɪ
kolbiště	kolbɪʃcɛ
kolchoz	kˈolxos
kolchozní	kˈolxozɲiː
kolchozník	kˈolxozɲiːk
kole	kolɛ
koled	kolɛt
koleda	kolɛda
koleda	kˈolɛdːa
koledami	kolɛdamɪ
koledník	kolɛdɲiːk
koledo	kolɛdo
koledou	kolɛdou
koledu	kolɛdu
koledy	kolɛdɪ
koledách	kolɛdaːx
koledám	kolɛdaːm
koledě	kolɛɟɛ
kolega	kolɛga
kolega	kɔlega
kolegy	kolɛgɪ
kolegyně	kolɛgɪɲɛ
kolegáček	kolɛgaːtʃɛk
kolegům	kolɛguːm
kolegům	kɔleguːm
kolej	kolej
kolej	kolɛj
kolejemi	kolɛjɛmɪ
koleji	kolɛjɪ
kolejišti	kolɛjɪʃcɪ
kolejiště	kolɛjɪʃcɛ
kolejnice	kolɛjɲɪtsɛ
kolejový	kolɛjoviː
kolek	kolɛk
kolekce	kolakvtsa
kolektiv	kolɛktɪf
kolektivní	kolɛktɪvɲiː
kolem	kolɛm
kolemjdoucí	kolɛmdoutsiː
kolemjdoucí	kolɛmiːdoutsiː
kolemjdoucí	kolɛmjdoutsiː
kolemjdoucího	kolɛmjdoutsiːɦo
kolemjdoucího	kolɛmɪdoutsiːɦo
kolemjedoucí	kolɛmjɛdoutsiː
kolena	koˈlɛnɑ
kolenní	kolɛɲiː
koleno	kolɛno
kolečko	kˈolɛtʃko
kolečkář	kolɛtʃkaːr
koli	kolɪ
koliba	kolɪba
koliba	kɔlɛba
kolibří	kolɪbr̝iː
kolibřík	kolɪbr̝iːk
koliha	kolɪɦa
kolik	kolɪk
kolika	kolɪka
kolika	kɔlɛka
kolikerý	kolɪkæriː
kolikost	kolɪkost
kolikrát	kolɪkraː
kolik stálo	kolɛkstaːlo
kolikátý	kolɪkaːtiː
kolize	kolɪzɛ
kolizní	kˈorɪzˈniː
koljuška	kolɪuʃka
koljuška	kˈoljuʃka
kolkovací	kolokovatsiː
kolmaha	kolmaɦa
kolmice	kolmɪtsɛ
kolmice	kɔlmɪtsɛ
kolmo	kolmɔ
kolmo	kˈolmo
kolmý	kolmi
kolmý	kˈolmiː
kolna	kˈolna
kolo	kˈolo
koloběžka	kolobjɛʃka
koloběžky	kolobjɛʃkɪ
kolodějanky	koloɟɛjankɪ
kolohnát	koloɦnaːt
koloid	kolojt
koloidní	kolojdɲiː
kolokace	kolokatsɛ
koloměřičanky	kolomɲɛr̝ɪtʃankɪ
kolonialismus	kolonɪalɪzmus
kolonie	kolonɪɛ
kolonii	kolonɪjɪ
kolonizovat	kolonɪzovat
kolonoskopie	kolonoskopɪjɛ
kolonáda	kˈolonaːda
kolonádní	kˈolonˌaːdɲiː
kolorektální	kolorɛktaːlɲiː
kolos	kˈolos
koloseum	koloseum
koloseum	kolosɛum
kolostrální	kˈolostrˌaːlɲiː
kolotoč	kˈolototʃ
kolouch	koloux
koloušek	kolouʃɛk
koloušek	kˈolauʃɛk
kolovrat	kˈolovrat
kolovrat	xolovrat
kolový	kˈoloviː
kološ	kˈoloʃ
kolportér	kolportɛːr
kolportérův	kolportɛːruːf
kolposkop	kˈolposkop
kolposkopický	kolposkopɪtskiː
kolposkopie	kolposkopɪjɛ
kolpík	kolpik
koltan	kˈoltan
kolu	kˈolu
kolumbie	kolumbɪjɛ
kolumbijec	kolumbɪjɛts
kolumbijka	kolumbɪjka
kolumbijský	kolumbɪjskiː
koly	kolɪ
kolzrtová	kolzrtovaː
kolárek	kɔlaːrɛk
koláč	kɔlaːtʃ
koláč	kˈolaːtʃ
koláče	kɔlaːtʃɛ
koláček	kolaːtʃɛk
koláčková	kˈolaːtʃkˌovaː
koláčky	kɔlaːtʃkɪ
koláčový	kˈolaːtʃˌoviː
kolář	kˈolaːr̝
kolébka	kolɛːpka
kolébkový	kolɛpkofiː
kolébání	kolɛːbaːɲiː
kolíbat	kɔliːbat˨
kolíbka	kɔliːpka
kolíbka	kˈoliːpka
kolíbání	kˈoliːbˌaːɲiː
kolík	kolik
kolík	kɔliːk
kolík	kˈoliːk
kolín	kɔliːn
kolín	kˈoliːn
kolínka	koliːnka
kolínko	kˈoliːnko
kolínsko	kˈoliːnsko
kolínskou	koliːnskou
kolínsku	kˈoliːnsku
kolínská	kˈoliːnskaː
kolínské	koliːnskɛː
kolíně	koliːɲɛː
kolíně	kɔliːɲɛ
kolísat	kˈoliːsat
kolísavý	kˈoliːsaviː
kolíska	kˈoliːska
kolíček	kˈoliːtʃɛk
kolčava	kˈoltʃava
kom	kˈom
kom	tʃom
komandant	kˈomandant
komandovat	kˈomandˌovat
komba	kˈomba
kombajn	kˈombajn
kombatant	kˈombatant
kombi	kombɪ
kombinace	kombɪnatsɛ
kombinát	kombɪnaːt
komediant	komedjant
komedie	komɛdɪjɛ
komediální	komɛdɪaːlɲiː
komenského	komɛnskɛːɦo
komentoval	komɛntoval
komentovat	komentolat
komentovat	komɛntovat
komentovati	komɛntovacɪ
komentuje	komɛntujɛ
komentátor	komɛntaːtor
komentář	komɛntaːr̝
komentáře	komɛntaːrɛ
komeník	kˈomˌanˈik
komercialista	komɛrtsɪalɪsta
komercializace	komertsɪalɪzˈatsɲ
komerční	komɛrtʃɲiː
komerčním	komɛrtʃniːm
kometa	kometa
kometa	komɛta
kometo	komɛto
kometární	komɛtaːrɲiː
komfort	komfort
komi	komi
komicky	komɪtskɪ
komický	komɪtskiː
komik	komɪk
komik	kɔmɪk
komiks	komɪks
kominík	komɪɲiːk
kominíkův	komɪɲiːkuːf
komisař	komɪsar̝
komisaře	komɪsar̝ɛ
komisařem	komɪsar̝ɛm
komisaři	komɪsar̝ɪ
komisařovi	komɪsar̝ovɪ
komisařích	komɪsar̝iːx
komisařů	komɪsar̝uː
komisařům	komɪsar̝uːm
komise	komɪsɛ
komisní	komɪsɲiː
komisárek	komɪsaːrɛk
komitét	komɪtɛːt
komičce	komɪtʃtsɛ
kommisse	komɪsɛ
komod	kˈomot
komoda	kˈomoda
komodita	komodɪta
komoditní	komodɪtɲiː
komodity	komodɪtɪ
komolit	komolɪt
komoliti	komolɪcɪ
komor	kˈomor
komora	kɔmˈora
komora	kˈomora
komorami	komoramɪ
komorní	kˈomorɲiː
komorník	komorɲiːk
komoro	kˈomoro
komorou	komorou
komoru	kˈomoru
komory	komori
komory	komorɪ
komorách	kˈomoraːx
komorám	kˈomoraːm
komouš	komouʃ
komoň	kˈomoɲ
komoře	komor̝ɛ
komp	kˈomp
kompakt	kɔmpakˈt
komparatistika	komparatɪstɪka
komparativ	komparatɪf
kompars	kompas
kompas	kɔmpas
kompas	kˈompas
kompatibilita	kompatɪbɪlɪta
kompatibilní	kompatɪpɪlɲiː
kompendium	kompɛndɪjum
kompenzovat	kompɛnzovat
kompetence	kompetentsa
kompetence	kompɛtɛntsɛ
kompetencí	kompetentsii
kompetentní	kompɛtɛntɲiː
kompilátor	kompɪlaːtor
kompilátorka	kompɪlaːtorka
kompl	kompl
komplementární	komplɛmɛntaːrɲiː
komplet	komplet
kompletní	komplɛtɲiː
kompletní	kɔmplɛtniː
komplex	komplɛks
komplex	komplˈɛks
komplexní	komplɛksɲiː
komplexně	kɔmplɛksɲɛ
komplexu	komplɛksu
komplexy	kompleksi
komplikace	komplɪkatsɛ
komplikaci	komplɪkatsiː
komplikací	komplɪkatsiː
komplikovaný	komplɪkovaniː
komplikovanější	komplɪkovanɛjʃiː
komplikovat	komplikovat
komplikuje	komplɪkujɛ
komplikují	komplɪkujiː
kompliment	komplɪmɛnt
komponent	komponɛnt
komponenta	komponɛnta
kompost	kɔmpost
kompost	kˈompost
kompostér	kompostɛːr
kompot	kˈompot
kompotový	kˈompotˌoviː
kompozitum	kompozɪtum
kompresor	komprɛsor
komprimace	komprimˈatsɛ
komprimovat	komprimovat
kompromis	kompromɪs
kompromis	kompɾomɛs
kompromitován	kompromɪtomaːn
komputer	kompjuːtr
komputer	komputɛr
komsomol	kˈomsomol
komsomolec	komsomolɛts
komtur	kˈomtur
komtur	kˈomʊtˈuɾɐ
komu	kˈomu
komunikace	komunɪkatsɛ
komunikaci	komunɪkatsɪ
komunikant	komunɪkant
komunikativní	kˌomunikatˈɪvɲiː
komunikační	komunɪkatʃɲiː
komunikační	kɔmunɪkatʃɲiː
komunikačně	komunɪkatʃɲɛ
komunikoval	komunɪkoval
komunikovat	komunɪkovat
komunikátor	komunɪkaːtor
komunisme	komunɪzmɛ
komunismech	komunɪzmɛx
komunismem	komunɪzmɛm
komunismu	komunɪzmu
komunismus	komunɪzmus
komunismy	komunɪzmɪ
komunismů	komunɪzmuː
komunismům	komunɪzmuːm
komunista	komunɪsta
komunistce	komunɪsttsɛ
komunistickou	komunɪstɪtskou
komunistická	komunɪstɪtskaː
komunistického	komunɪstɪtskɛːɦo
komunistický	komunɪstɪtskiː
komunistka	komunɪstka
komunisto	komunɪsto
komunita	komunɪta
komunitu	komunɪtu
komunitě	komunɪcɛ
komunizmus	komunɪzmus
komunální	komunaːlɪniː
komunální	kˈomunˌaːlɲiː
komunálních	kˈomunˌaːlɲiːx
komunálního	komunaːniːɦo
komár	kˈomaːr
komárov	komarov
komárův	kˈomaːruːf
komáří	kˈomaːr̝iː
komíhat	komiːɦat
komín	kɔmiːn
komín	kˈomiːn
komínová	kɔmiːnavaː
komínový	kˈomiːnˌoviː
komód	kˈomoːt
komůrka	komurka
komže	komʒɛ
kon	kˈon
kon-	kon
konat	koˈnɑt
konat	kˈonat
konati	konacɪ
konat službu	konatsluʒɛbu
konce	kontsɛ
konce	kɔntsɛ
koncem	kontsɛm
koncentrace	kontsɛntratsɛ
koncentrace	kɔntsɛntratsɛ
koncentraci	kontsɛntratsɪ
koncentračních	kontsɛntratʃɲiːx
koncentračním	kontsɛntratʃɲiːm
koncentrický	kontsɛntrɪtskiː
koncentrovaný	kontsɛntrovaniː
koncentrák	kontsɛntraːk
koncentráčník	kontsɛntraːtʃɲiːk
koncepce	kontsɛptsɛ
koncepce	kɔntsɛptsɛ
koncepci	kontsɛptsɪ
koncept	kontsɛt
koncepční	kontsɛptʃɲˈiː
koncepčně	kontsɛptʃɲɛ
koncern	kontsɛrn
koncernový	kontsɛrnoviː
koncernově	kontsɛrnovjɛ
koncert	kontsɛrt
koncertantní	kontsɛrtantɲiː
koncertech	kontsɛrtɛx
koncertní	kontsɛrtɲiː
koncertní	kɔntsɛrtɲiː
koncertu	kontsɛrtu
koncertě	kontsɛrcɛ
koncesivní	ontsɛsɪvɲˈiː
konchylie	konxiːlɪjɛ
konchylie	konxɪlɪjɛ
konci	kontsɪ
koncil	kontsɪl
koncil	kõntsɪl
koncipovat	kontsipovat
koncovka	kˈontsofka
koncový	kontsovjiː
koncák	kˈontsaːk
koncík	kˈontsiːk
koncízní	kontsiːzɲiː
kondensace	kondɛnzatsɛ
kondenzace	kondɛnzatsɛ
kondenzace	kontɛnzatsɨ
kondice	kondɪtsɛ
kondice	kɔndɪtsɛ
kondicionál	kondɪtsɪonaːl
kondičce	kondɪtʃtsɛ
kondičkami	kondɪtʃkamɪ
kondičkou	kondɪtʃkou
kondičku	kondɪtʃku
kondolík	kˈondoliːk
kondom	kondˈom
kondom	kˈondom
kondoří	kˈondor̝iː
konduktér	konduktɛr
konduktér	konduktɛːr
konec	konɛts
konec	kɔnɛts
koneckonců	konɛtʃkontʃuː
konejšíc	konɛjʃiːts
konev	konɛf
konev	koʝef
koneček	konɛtʃɛk
konečná	konɛtʃnaː
konečné	konɛtʃnɛː
konečník	konɛtʃɲiːk
konečník	konɛtʃɲˈiːk
konečný	konɛtʃniː
konečně	konɛtʃɲɛ
konfederace	kɔnfɛdɛratsɪ
konfekční výroba (oděvů)	konfɛktʃɲiːviːrobaoɟɛvu
konference	konferɛntsɛ
konference	konfɛrɛntsɛ
konferenci	konfɛrɛntsɪ
konferencích	konfɛrɛntsiːx
konfety	konfetɪ
konfety	konfɛtɪ
konfident	konfɪdɛnt
konfirmace	konfɪrmatsɛ
konfirmát	konfɪrmaːt
konflikt	konflɪkt
konfliktní	konflɪktɲiː
konfliktu	konflɪktu
konflikty	konflɪktɪ
konfliktů	konflɪktuː
konfraternie	konfratɛrnɪjɛ
konfraternita	konfratɛrnɪta
konfrontovat	konfɾontovat
kongo	kongo
kongres	kongrɛs
kongresu	kongrɛsu
konice	koɲɪtsɛ
koniklec	koɲɪklɛts
konina	koɲina
konina	koɲɪna
koninec	koɲɪnɛts
konipas	koɲɪpas
konjugace	konjugatsɛ
konjunkce	konjunktsɛ
konjunktura	konjunktuːra
konjunkturalistce	konjunkturalɪsttsɛ
konkatedrála	konkatɛdraːla
konkař	konkar̝
konkláve	konklaːvɛ
konkrétní	konkrɛːtɲiː
konkrétním	kankrɛːtɲˈiːm
konkrétním	konkrɛːtɲiːm
konkubinát	konkubɪnaːt
konkubína	konkubiːna
konkubína	kɔnkˈubiːna
konkurence	konkurɛntsɛ
konkurenty	konkurɛntɪ
konkurenční	konkurɛntʃɲiː
konkurs	konkurs
konkurs	konkɔrs
konkávní	konkaːvɲiː
konopný	kˈonopniː
konopí	konopi
konopí	ko˥˩nopi˥˩
konopí	kˈonopiː
konsekutivně	konsɛkutɪvɲɛ
konsensus	konsɛnzus
konsenzus	konsɛnzus
konsistentní	konsɪstɛntɲiː
konsistentní	konzɪstɛntɲiː
konsorciální	konzortsɪjaːlɲiː
konsorční	konzortʃɲiː
konspirace	konspiratsɛ
konspirační	konspiratʃɲiː
konspirátora	konspiraːtora
konstantní	kˈonstantɲiː
konstatovala	kˈonstatˌovala
konstatovat	kˈonstatˌovat
konstatovati	konstatovacɪ
konsternovat	konstɛrnovat
konsternováni	konstɛrnovaːɲɪ
konstitutivní	konstɪtutɪvɲiː
konstrukce	konstruktsɛ
konstrukcemi	konstruktsɛmɪ
konstrukci	konstruktsɪ
konstrukcí	kˈonstruktsiː
konstrukcích	kˈonstruktsiːx
konstrukcím	kˈonstruktsiːm
konstruktivismus	konstruktɪdɛzmus
konstruktivismus	kɔnstruktɪvɪzmus
konstruktivní	konstruktɪvɲiː
konstruktivní	kɔnstruktɪvɲiː
konstrukční	kˈonstruktʃɲiː
konstábl	konstaːbl
kont	kˈont
kontagiózní	kontagɪjoːzɲiː
kontakt	kɔntakt
kontakt	kˈontakt
kontaktní	kontaktɲiː
kontaktolog	kˈontaktˌolok
kontaktoval	kontaktoval
kontaktováni	kontaktovaːɲɪ
kontaktu	kˈontaktu
kontakty	kontaktɛ
kontejneru	koɲtɛjnɛru
kontext	kontɛkst
kontextu	kontɛkstu
kontextu	kont̪ɛkst̪u
kontinent	kontɪnɛnt
kontinentální	kontɪnɛntaːlɲiː
kontinuum	kontɪnuum
konto	kˈonto
kontokorent	kontokorɛnt
kontra-	kontra
kontradikce	kontradɪktsɛ
kontradmirál	kontradmɪraːl
kontrafagot	kontrafagot
kontraindikace	kontraɪndɪkatsɛ
kontrakce	kɔntraktsɛ
kontrakt	kˈontrakt
kontrakultovní	kˈontrakˌultovɲiː
kontrakytara	kontrakɪtara
kontrarevolucionář	kontrarɛvolutsɪonaːr̝
kontrasignace	kontrasɪgnatsɛ
kontrfekt	kontrfɛkt
kontrola	kˈontrola
kontrole	kontrolɛ
kontrolka	kˈontrolka
kontrolní	kontrouɲiː
kontrolní	kˈontrolɲiː
kontrolor	kˈontrolor
kontrolorka	kˈontrolˌorka
kontrolovali	kontrolovalɪ
kontrolované	kontrolovanɛː
kontrolovaném	kontrolovanɛːm
kontrolovaný	kˈontrolˌovaniː
kontrolovaných	kˈontrolˌovaniːx
kontrolovat	kˈontrolˌovat
kontroloři	kontrolor̝ɪ
kontrolu	kˈontrolu
kontroluje	kontrolujɛ
kontrolují	kˈontrolˌujiː
kontroverzní	kontrovɛrzɲiː
kontroverzním	kontrovɛrzɲˈiːm
kontrární	kˈontraːrɲiː
kontráš	kˈontraːʃ
kontumace	kɔntumatsɛ
kontumačně	kontumatʃɲɛ
kontušovka	kˈontuʃˌofka
konve	koːnˈʊvˈe
konvekce	konvɛktsɛ
konvence	konvɛntsɛ
konventikl	konvɛntɪkl
konvenční	konvɛntʃɲiː
konvergentní	konvɛrgɛntɲiː
konverse	konvɛrzɛ
konverzace	konvɛrzatsɛ
konverzace	kɔnvɛrzatsɛ
konverzaci	konvɛrzatsɪ
konverzací	konverɛzatsiː
konverze	konvɛrzɛ
konverze	kɔnvɛrzɛ
konverzivum	konvɛrzɪvum
konvexní	konvɛksɲiː
konvexně	konvɛksɲɛ
konvice	konvɪtsɛ
konvice	konvɪtsɜ
konvička	konvɪtʃka
konvoj	kˈonvoj
konzerv	konzɛrf
konzerva	konzɛrva
konzervami	konzɛrvamɪ
konzervant	kɔnzɛrvant
konzervativní	konzɛrvatiːvɲiː
konzervativní	konzɛrvatɪvɲiː
konzervativních	konzɛrvatɪvɲiːx
konzervatoř	konzɛrvator̝
konzervo	konzɛrvo
konzervou	konzɛrvou
konzervovat	konzɛrvovat
konzervu	konzɛrvu
konzervy	konzɛrvɪ
konzervách	kontzɛrvaːx
konzervách	konzɛrvaːx
konzervám	konzɛrvaːm
konzervě	konzɛrvjɛ
konzistentní	konsɪstɛntɲiː
konzistentní	konzɪstɛntɲiː
konzola	kˈonzola
konzultace	konzultatsɛ
konzultant	kˈonzultant
konzultoval	kˈonzultˌoval
konzultujeme	konzultujɛmɛ
konzulát	kɔnzulaːt
konzum	kˈonzum
konzumace	konzumatsɛ
konzumují	kˈonzumˌujiː
konány	konaːnɪ
konání	kɔnaːniː
konání	kˈonaːɲiː
koná se	konaːsɛ
koník	kɔɲiːk
koníček	koɲiːtʃɛk
konče	kontʃɛ
končetin	kontʃɛcɪn
končetina	kontʃɛcɪna
končetina	kontʃɛtjɛnɛ
končetinami	kontʃɛtɪnɔmɪ
končetinový	kontʃɛcɪnoviː
končit	kontʃjt
končit	kontʃɪt
končiti	kontʃɪcɪ
končí	kˈontʃiː
koněberka	koɲɛbɛrka
koněprusy	koɲɛprusɪ
koněšín	koɲɛʃiːn
konšel	konʃɛl
konžský	kˈonʃskiː
kooperace	kɔopɛratsɛ
kooperativní	oopɛratɪvɲiː
kooptace	kooptatsɛ
koordinace	koordɪnatsɛ
koordinace	ko˩˥ːɔrdɪnatsa
koordinátor	koordɪnaːtɔr
kop	kˈop
kopa	kɔpa
kopa	kˈopa
kopal	kˈopal
kopanice	kopaɲɪtsɛ
kopanice	kɔpaɲɪtsɛ
kopaničář	kopaɲɪtʃaːr̝
kopaná	kˈopanaː
kopaná studna	kopanaːstˈudna
kopané	kopanɛː
kopat	kˈopat
kopati	kopacɪ
kopačka	kɔpatʃka
kopačka	kˈopatʃka
kopačku	kˈopatʃku
kopačky	kopatʃkɪ
kopačák	kopˈatʃaːk
kopci	koptsɪ
kopcovitý	koptsovɪtiː
kope	kopɛ
kopec	kapɛts
kopec	kopɛts
kopecký	kɔpɛtskiː
kopejce	kopɛjtsɛ
kopelent	kɔpɛlɛnt
kopem	kopɛm
kopernicium	kopɛrnɪtsɪum
kopeček	kopɛtʃɛk
kopeček	kupɛtʃɛk
kopie	kopɪjɛ
kopiník	kopɪɲiːk
kopist	kopɪst
kopista	kopɪsta
kopit	kopɪt
kopka	kɔpka
kopnout	kopnout
kopou	kopou
kopr	kopr
kopretina	koprɛcɪna
kopretinový	koprɛcɪnoviː
koprodukce	oproduktsɛ
koprolálie	koprolaːlɪjɛ
koprovka	kˈoprofka
koprový	kˈoproviː
kopt	kˈopt
kopta	kɔpˈta
koptština	koptʃcɪna
koptští	koptʃtiː
kopu	kˈopu
kopule	kopulɛ
kopule	kɔpulɛ
kopy	kopɪ
kopytnatec	kopɪtnatɛts
kopytní	kopɪtɲiː
kopyto	kopɪto
kopá	kˈopaː
kopám	kˈopaːm
kopání	kˈopaːɲiː
kopátko	kˈopaːtko
kopáč	kˈopaːtʃ
kopí	kopj
kopí	kˈopiː
kopím	kˈopiːm
kopími	kopiːmɪ
kopírka	kˈopiːrka
kopírovat	kˈopiːrˌovat
kopýtko	kˈopiːtko
kopě	kopjɛ
kopějce	kopjɛjtsɛ
kopějka	kopjɛjka
kopřiva	kopr̝ɪva
kopřivce	kopr̝ɪftsɛ
kopřivnice	kopr̝ɪvɲɪtsɛ
kopřivový	kopr̝ɪvoviː
kopů	kˈopuː
koraze	korazɛ
korba	kɔrba
korbel	korbɛl
korbáček	korbaːtʃɛk
korbáček	kurbaːtʃɛk
korcích	kˈortsiːx
kordiové	kordɪjovɛː
kordista	kordɪsta
kordula	korduɫa
korea	korɛa
korec	korɛts
korejec	korɛjɛts
korejka	koreika
korejka	korɛjka
korejsky	korɛjskɪ
korejský	korɛjskiː
korejština	korɛjʃcɪna
korek	korɛk
korek	kɔrɛk
korektnost	korɛktnɔst
korektní	korɛktɲiː
korelát	korɛlaːt
korespondence	korɛspondɛntsɛ
korespondence	kɔrɛspondɛntsɛ
korespondent	kɔrɛspondɛnt
korespondenční	korɛspondɛntʃɲiː
korespondovat	korespondovan
koreu	korɛu
korešová	koreʃovaː
korfu	kˈorfu
korfuský	kˈorfuskiː
koriandr	korɪjandr
korida	korɪda
korida	kɔrɪda
koridor	koredˈor
korint	korɪnt
korintka	kɔrɪntka
korkovník	kˈorkovɲiːk
korkový	kˈorkoviː
kormidelník	kormɪdɛlɲiːk
kormidlo	kormɪdlo
kormorán	kormoraːm
kormorán	kˈormoraːn
kornatičankách	kornacɪtʃankaːx
kornatka	kɔrnatka
kornet	kornɛt
kornetista	kornɛtɪsta
kornský	kˈornskiː
kornšpic	kornʃpɪts
korolupy	korolupɪ
korolár	kˈorolaːr
koronavirem	koronavɪrɛm
koronaviru	koronavɪru
koronavirus	koronavɪrus
koroner	koronɛr
koronární	kˈoronˌaːrɲiː
koronáč	kˈoronaːtʃ
koroptev	koroptɛf
koroptví	kˈoroptviː
korouhev	korouɦɛf
korporací	kˈorporˌatsiː
korporačního řízení	korporatʃɲiːɦor̝iːzɛɲiː
korpskomando	kˈorpskomˌando
korpulentní	korpulɛntɲiː
korpuskulární	korpuskulaːrɲiː
korsicky	korsɪtskɪ
korsický	korsɪtskiː
korsika	korzɪka
korsičanka	korsɪtʃanka
korumpovat	kˈorumpˌovat
korun	korn
korun	kˈorun
koruna	koɾuna
