ༀ	om 
གདོད་ནས་བྱང་ཆུབ་སྤྲོས་བྲལ་བདེ་བ་ཆེ	döné changchub trödral dewa ché
གདོད་ནས་མ་སྐྱེས་ཀུན་བཟང་མོ༔	döné makyé kunzang mo
གདོད་ནས་མངོན་སངས་རྒྱས་ཀྱང་རྩོད་པའི་དུས	döné ngön sangye kyang tsöpé dü
གདོད་ནས་ཚོགས་ཞིང་ཡིན་པ་ལ	döné tsok zhing yinpa la
གདོད་ནས་འགྱུར༵་མེད༵་བདེ་ཆེན་རྡོ་རྗེའི་ཁམས	döné
གདོད་ནས་འདུ་འབྲལ་མེད་པར་བཞུགས་པ་ཡི	döné dudral mepar zhukpa yi
གདོད་ནས་འདུ་འབྲལ་སྤངས་པའི་དབང་རྟགས་འཆང	döné dudral pangpé wang tak chang
གདོད་ནས་འཕོ་འགྱུར་བྲལ་བ་ཆོས་སྐུའི་གཡང་༔	döné pogyur dralwa chökü yang
གདོད་ནས་ཡེ་ཤེས་རྡོ་རྗེ་སྙིང་པོའི་སྲོག	döné yeshe dorjé nyingpö sok
གདོད་ནས་རང་དང་འདུ་བྲལ་མེད	döné rang dang dudral mé
གདོད་ནས་རང་བཞིན་རྣམ་དག་པས	döné rangzhin namdakpé
གདོད་ནས་རང་བྱུང་མགོན་པོ་བདེ་བ་ཆེ	döné rangjung gönpo dewa ché
གདོད་ནས་རབ་ཞིའི་བདུད་རྩི་བརྙེས་གྱུར་ཀྱང	döné rapzhi dütsi nyé gyur kyang
གདོད་ནས་རབ་ཞིའི་བདུད་རྩི་བརྙེས་གྱུར་ཀྱང༌	döné rapzhi dütsi nyé gyur kyang
གདོད་ནས་རྒྱལ་བ་ཀུན་དང་མི་གཉིས་པ	döné gyalwa kün dang mi nyipa
གདོད་ནས་རྣམ་གྲོལ་ཕྱག་རྒྱ་ཆེ༔	döné namdrol chakgya ché
གདོད་ནས་རྣམ་དག་ཆོས་སྐུ་ཡུམ་ཆེན་མོའི	döné namdak chöku yum chenmö
གདོད་ནས་རྣམ་དག་བྱང་ཆུབ་སེམས་ཉིད་དེ	döné namdak changchub semnyi dé
གདོད་ནས་རྣམ་དག་མཆོད་པའི་ཕྱག་རྒྱར་རྫོགས	döné namdak chöpé chakgyar dzok
གདོད་ནས་རྣམ་དག་ཞིང་དུ་སྐྱེ་བར་ཤོག	döné namdak zhing du kyewar shok
གདོད་ནས་རྣམ་དག་འོད་གསལ་ཆོས་ཀྱི་སྐུ	döné namdak ösal chö kyi ku
གདོད་ནས་རྣམ་དག་འོད་གསལ་ཞིང་ནི་མ་སྐྱེས་ལྷུན་རྫོགས་འདུས་མ་བྱས	döné namdak ösal zhing ni makyé lhün dzok dümajé
གདོད་ནས་རྣམ་དག་སྣང་སྟོང་དག་པའི་གཤིས	döné namdak nangtong dakpé shi
གདོད་ནས་ལྷུན་གྲུབ་གཉུག་མའི་རྡོ་རྗེ་གསུམ	döné lhündrub nyukmé dorjé sum
གདོད་ནས་ལྷུན་གྲུབ་གནས་མཆོག་ཏུ	döné lhündrub né chok tu
གདོད་ནས་ལྷུན་གྲུབ་འོད་གསལ་རིག་པའི་གཤིས	döné lhündrub ösal rigpé shi
གདོད་ནས་ལྷུན་གྲུབ་སྐུ་གསུམ་ཆེན་པོར་བཞུགས	döné lhündrub ku sum chenpor zhuk
གདོད་ནས་སྐྱེ་འགག་གནས་བྲལ་སེམས་ཀྱི་གཤིས	döné kyegak nedral sem kyi shi
གདོད་ནས་སྣང་སྟོང་མཉམ་པའི་ཡེ་ཤེས་ཉིད	döné nangtong nyampé yeshe nyi
གདོད་ནས་སྣོད་བཅུད་རྣམ་དག་ཞིང	döné nöchü namdak zhing
གདོད་ནས་སྤྲོས་བྲལ་རང་བྱུང་འདུས་མ་བྱས	döné trödral rangjung dümajé
གདོད་ནས་སྤྲོས་བྲལ་རིག་གདངས་འཇའ་ཟེར་སྦུབས	döné trödral rikdang jazer bub
གདོད་བྱ་ལོང་ཡོད་སྙམ་པའི་ལེ་ལོ་ཡིས	döja long yö nyampé lelo yi
གདོད་བྱ་ལོང་ཡོད་སྙམ་པའི་ལེ་ལོ་ཡིས༔	döja long yö nyampé lelo yi
གདོད་བྱ་ལོངས་ཡོད་སྙམ་པའི་ལེ་ལོ་ཡིས	döja long yö nyampé lelo yi
གདོད་མའི་གནས་ལུགས་ཁྱབ་བརྡལ་ལྷུན་རྫོགས་ཀྱི་ཞིང་ན	dömé neluk khyabdal lhün dzok kyi zhing na
གདོད་མའི་གནས་ལུགས་མངོན་གྱུར་ཤོག༔	dömé neluk ngöngyur shok
གདོད་མའི་གནས་ལུགས་རང་བཞིན་སྤྲོས་དང་བྲལ༔	dömé neluk rangzhin trö dangdral
གདོད་མའི་གནས་ལུགས་རྗེན་པར་མངོན་གྱུར་ཅིག	dömé né luk jenpar ngön gyur chik
གདོད་མའི་གནས་ལུགས་རྟོགས་པར་བྱིན་གྱིས་རློབས༔	dömé neluk tokpar jingyi lob
གདོད་མའི་གཞི་དབྱིངས་ནང་གསལ་གསང་བའི་སྦུབས	dömé zhi ying nangsal sangwé bub
གདོད་མའི་གཞི་ལ་གྲོལ་བར་ཤོག	dömé zhi la drolwar shok
གདོད་མའི་གཤིས་དང་དབྱེར་མེད་པདྨ་འབྱུང	dömé shi dang yermé pema jung
གདོད་མའི་དབྱིངས་སུ་སངས་རྒྱས་ཤོག	dömé ying su sangye shok
གདོད་མའི་ནང་དབྱིངས་མ་ཟིན་ན	dömé nang ying ma zin na
གདོད་མའི་བཙན་ས་ཟིན་པར་བྱིན་གྱིས་རློབས	dömé tsensa zinpar jingyi lob
གདོད་མའི་མགོན་གྱིས་ལུང་བསྟན་པའི	dömé gön gyi lungtenpé
གདོད་མའི་མགོན་པོ་ཀུན་བཟང་འོད་མི་འགྱུར	dömé gönpo kunzang ö mingyur
གདོད་མའི་མགོན་པོ་ཀུན་བཟང་ཡབ་ཡུམ་དང	dömé gönpo kunzang yabyum dang
གདོད་མའི་མགོན་པོ་ཀློང་ཆེན་པ	dömé gönpo longchenpa
གདོད་མའི་མགོན་པོ་ཆོས་སྐུ་ཀུན་ཏུ་བཟང	dömé gönpo chöku kuntuzang
གདོད་མའི་མགོན་པོ་ཐུབ་དབང་ཤཱཀྱའི་ཏོག	dömé gönpo tubwang shakyé tok
གདོད་མའི་མགོན་པོ་དཔལ་ལྡན་བླ་མ་ལ	dö mé gönpo palden lama la
གདོད་མའི་མགོན་པོ་ཕྲིན་ལས་ཆོས་སྒྲོན་དང	dömé gönpo trinlé chö drön dang
གདོད་མའི་མགོན་པོ་འོད་མི་འགྱུར	dömé gönpo ö mingyur
གདོད་མའི་མགོན་པོ་རྩ་བའི་བླ་མ་ལ	dömé gönpo tsawé lama la
གདོད་མའི་རྒྱལ་བ་བརྒྱུད་པའི་བླ་མའི་བར	dömé gyalwa gyüpé lamé bar
གདོད་མའི་ས་ལ་འགོད་པར་བགྱི	dömé sa la göpar gyi
གདོད་མའི་སངས་རྒྱས་འགྲུབ་པར་བྱིན་གྱིས་རློབས	dömé sangyé drubpar chin gyi lop
གདོད་མའི་སྟོང་ཆེན་དབྱིངས་ཀྱི་བྷ་གའི་ཀློང་༔	dömé tongchen ying kyi bhagé long
གདོན་གཟུགས་བོན་གྱི་བསྟན་པ་བསྣུབས༔	dön zuk bön gyi tenpa nub
གདོན་གསུམ་རྣམ་རྟོག་ཞི་གྱུར་ཅིག	dön sum namtok zhi gyur chik
གདོན་ཐམས་ཅད་བརླག་པར་བྱེད་པ	dön tamché lakpar jepa
གདོན་ཐམས་ཅད་ལས་ཐར་བར་བྱེད་པ	dön tamché lé tarwar jepa
གདོན་དང་གནོད་པ་མ་མཛད	dön dang nöpa ma dzé
གདོན་དང་ནད་དང་འབྱུང་པོའི་འཚེ་བ་སོགས	dön dang né dang jungpö tsewa sok
གདོན་དང་བགེགས་རྣམས་མེད་པར་མཛོད	dön dang gek nam mepar dzö
གདོན་དང་རིམས་དང་དུག་གིས་གཟིར་བའི	dön dang rim dang duk gi zirwé
གདོན་དང་རོ་ལངས་གནོད་སྦྱིན་ཚོགས་རྣམས	dön dang rolang nöjin tsok nam
གདོན་བགེགས་འབྱུང་པོ་ཐམས་ཅད་ལ	dön gek jungpo tamché la
གདོན་བགེགས་ལྷ་འདྲེ་ལན་ཆགས་མགྲོན་ལ་བསྔོ	dön gek lha dré lenchak drön la ngo
གདོན་མི་ཟ་བར་བགྲོད་པར་ཤོག	dön mi zawar dröpar shok
གདོན་འདྲེ	gdonⁿdre
གདོན་འདྲེ	toŋ˩˨ʈʂeˑ
གདོན་རིགས་སྟོང་ཕྲག་སུམ་བརྒྱ་ཟློག	dön rik tongtrak sumgya dok
གདོལ་པ་བུད་མེད་ཁྱེའུ་དགེ་སྦྱོང་དང༌༔	dolpa bümé khyé'u gejong dang
གདོས་བཅས་ལུས་བླངས་གྲངས་མེད་ཞིག་གྱུར་ཏེ	dö ché lü lang drangmé zhik gyur té
གདོས་བཅས་ལུས་བླངས་གྲངས་མེད་ཞིག་གྱུར་ཏེ༔	dö ché lü lang drangmé zhik gyur té
གདོས་བཅས་ལུས་ཟད་འཇའ་ལུས་མཁའ་སྤྱོད་བརྙེས	dö ché lü zé jalü khachö nyé
གདོས་བཅས་སྒྱུ་ལུས་ཕུང་པོ་འདི	dö ché gyulü pungpo di
གནག་སྣུམ་དབུ་སྐྲའི་ལན་ཚར་ཅན༔	nak num utré lentsar chen
གནང	gnaŋ
གནང	naŋ˥˥
གནད་ཀྱི་སྒྲོན་མེ་མཛད་པའི་མཁྱེན་རབ་ཅན	né kyi drönmé dzepé khyen rabchen
གནད་གཅེར་མཐོང་རང་གྲོལ་མངོན་གྱུར་ཤོག	né cher tong rangdrol ngöngyur shok
གནད་གཅོད་དྲག་པོ་མི་འབྱུང་ཞིང	né chö drakpo minjung zhing
གནད་གཅོད་སྡུག་བསྔལ་དྲག་པོ་མི་འབྱུང་ཞིང	né chö dukngal drakpo minjung zhing
གནད་གཅོད་སྡུག་བསྔལ་དྲག་པོས་ཉེན་པ་ན༔	né chö dukngal drakpö nyenpa na
གནད་གཅོད་སྡུག་བསྔལ་འདུ་འཕྲོད་ཉེན་པ་ན	né chö dukngal dü trö nyenpa na
གནད་གཅོད་སྡུག་བསྔལ་འདུ་འཕྲོད་ཉེན་པ་ན༔	né chö dukngal dü trö nyenpa na
གནད་གསུམ་ལྡན་པའི་ལྟ་བ་ལ	né sum denpé tawa la
གནད་ཐོག་མེ་བཙས་ཉོན་མོངས་རྩད་ནས་འབྱིན	né tok metsé nyönmong tsené jin
གནད་དང་འབྲལ་མེད་ཡེ་ཤེས་འཆར་བར་ཤོག	né dang dralmé yeshe charwar shok
གནད་བསྒོམས་ན་ཟླ་བ་དྲུག་གིས་གྲོལ	né gom na dawa druk gi drol
གནད་རྣམས་ཇི་བཞིན་རྟོགས་ནས་བརྩོན་པ་ཡིས	né nam jizhin tok né tsönpa yi
གནམ	gnam
གནམ	hnam
གནམ	nam˥˥
གནམ	ɣnam
གནམ་གཤིས	gnamkɕis
གནམ་གཤིས	nəm˥˥ɕi˥˨
གནམ་གྱི་དལ་ཁ་ཐེབས་པ་ཟློག	nam gyi dalkha tebpa *dok
གནམ་གྲུ	nəm˥˥ʈʂu˥˥
གནམ་མཚོ	gnammtsʰo
གནམ་མཚོ	nam˥˥tsʰo˥˥
གནམ་ཞལ་ཡུམ་མཆོག་ཀུན་བཟང་སྦྱོར༔	nam zhal yum chok kunzang jor
གནམ་རིམ་པ་དགུའི་སྟེང་ནས་ཤེལ་གྱི་བྱ་ཁྱུང་གཤོག་པ་བརྡེབ་པ་ཟློག	nam rimpa gü teng né shel gyija khyung shokpa debpa dok
གནམ་ལྕགས་ཀྱི་རལ་གྲིས་མ་རུངས་སྲིན་པའི་མགོ་བོ་འབྲེག་པ	namchak kyi raldri ma rung sinpöi gowo drekpa
གནམ་ལྕགས་ཡོད་པའི་རི་རྩེ་ནས༔	namchak yöpé ri tsé né
གནམ་ས་བར་གྱི་ཝེར་མ་ལ་གསོལ་ལོ	nam sa bar gyi werma la söl lo
གནམ་ས་བར་གྱི་ཝེར་མའི་ཐུགས་དམ་བསྐང	namsa bar gyi wermé tukdam kang
གནམ་ས་བར་སྣང་ཀུན་ཁྱབ་ཅིང	namsa barnang künkhyab ching
གནམ་ས་བར་སྣང་ཀུན་ཁྱབ་ཅིང་	namsa barnang künkhyab ching
གནམ་ས་བར་སྣང་ཁྱབ་པའི་བཀྲ་ཤིས་ཤོག	namsa barnang khyabpé tashi shok
གནམ་ས་བར་སྣང་གི་ཁྱོན་ཀུན་ཏུ་རྒྱུ་ཞིང	nam sa bar nang gi khyön kun tu gyu zhing
གནམ་སྒོས་རྩུབ་པ་ཟློག	nam gö tsubpa dok
གནམ་སྔོན་ཞུན་མར་འཁྱིལ་བའི་ཅོད་པན་ཆེ	nam ngön zhünmar khyilwé chöpen ché
གནའ་དེང་རིག་པའི་མཐའ་རྒྱ་མ་ཆོད་པར	na deng rigpé ta gyama chöpar
གནས	gnas
གནས	nɛː˥˨
གནས་ཀྱི་ཆགས་ཚུལ་དཔའ་བོའི་སྙིང་གི་དབྱིབས	né kyi chak tsul pawö nying gi yib
གནས་ཀྱི་མཆོག་གྱུར་ཨུ་རྒྱན་གནས༔	né kyi chokgyur orgyen ne
གནས་ཀྱི་མཆོག་གྱུར་ཨུ་རྒྱན་གནས༔	né kyi chokgyur orgyen né
གནས་ཀྱི་མཆོག་གྱུར་ཨུ་རྒྱན་གནས༔	né kyi chokgyur urgyen né
གནས་གང་དང་གང་དུ་སྐྱེས་ཀྱང་ཆོས་སྐྱོང་བའི་རྒྱལ་པོ་དང་ཕྲད་པ་དང	né gang dang gangdu kyé kyang chökyongwé gyalpo dang trepa dang
གནས་གང་འདུལ་སྤྲུལ་པ་དཔལ་རིའི་ཞིང༔	né gang dul trulpa palri zhing
གནས་གང་འདོད་རྫུ་འཕྲུལ་ཁ་ལོ་སྒྱུར	né gang dö dzutrul khalo gyur
གནས་གཏེར་བདག་པོ་གཞི་བདག་ཚོགས་རྣམས་དང	né ter dakpo zhidak tsok nam dang
གནས་གཏེར་བརྒྱ་རྩའི་སྒོ་འབྱེད་མཆོག་གྱུར་གླིང	né ter gya tsé gojé chokgyur ling
གནས་གཏེར་བརྒྱ་རྩའི་སྒོ་འབྱེད་མཆོག་གྱུར་གླིང་	né ter gya tsé gojé chokgyur ling
གནས་གར་འགྲོ་འདིར་འགྲོ་རང་དབང་མེད་དུས	né gar dro dir dro rangwang mé dü
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོ་ཆོས་སྐྱོང་དང	né sum pawo khandro chökyong dang
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོ་ཆོས་སྐྱོང་ལ	né sum pawo khandro chökyong la
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོ་མཐུ་རྩལ་ཅན	né sum pawo khandro tutsal chen
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོའི་གཙུག་གི་རྒྱན	né sum pawo khandrö tsuk gi gyen
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོའི་ཐུགས་དམ་བསྐང	né sum pawo khandrö tukdam kang
གནས་གསུམ་དཔའ་བོ་མཁའ་འགྲོས་མཐའ་བསྐོར་ཏེ	né sum pawo khandrö ta kor té
གནས་གསུམ་དཔའ་བོ་རྣལ་འབྱོར་མའི	né sum pawo naljormé
གནས་གསུམ་བྱིན་རླབས་ཡེ་ཤེས་བསྟིམ༔	né sum jinlab yeshe tim
གནས་གསུམ་མཁའ་འགྲོ་ཀུན་འདུ་བའི	né sum khandro kün duwé
གནས་གསུམ་མཁའ་འགྲོ་ཆོས་སྐྱོང་ནུས་མཐུ་ཡིས	né sum khandro chökyong nütu yi
གནས་གསུམ་མཁའ་འགྲོ་དམ་ཅན་ཆོས་སྐྱོང་ཚོགས	né sum khandro damchen chökyong tsok
གནས་གསུམ་མཁའ་འགྲོ་མ་མགོན་ཆོས་སྐྱོང་ཚོགས	né sum khandroma gön chökyong tsok
གནས་གསུམ་མཁའ་འགྲོ་མ་ལུས་པ	né sum khandro ma lüpa
གནས་གསུམ་མཁའ་འགྲོ་ཡེ་ཤེས་ལས་གྲུབ་པའི	né sum khandro yeshe lé drubpé
གནས་གསུམ་མཁའ་འགྲོ་ཡོངས་ཀྱི་འཁོར་ལོས་སྒྱུར	né sum khandro yong kyi khorlö gyur
གནས་གསུམ་མཁའ་འགྲོ་ཡོངས་ཀྱི་སྤྱི་དཔལ་ཆེ	né sum khandro yong kyi chi pal ché
གནས་གསུམ་མཁའ་འགྲོ་རྒྱ་མཚོའི་མིང་པོ་ཆེ	né sum khandro gyatsö mingpo ché
གནས་གསུམ་མཁའ་འགྲོའི་མེས་པོར་གསོལ་བ་འདེབས	né sum khandrö mepor solwa deb
གནས་གསུམ་མཁའ་འགྲོའི་ཚོགས་ཀྱི་རྗེ	né sum khandröi tsok kyi jé
གནས་གསུམ་མཁའ་འགྲོའི་ཚོགས་ཀྱིས་བསྐོར༔	né sum khandrö tsok kyi kor
གནས་གསུམ་མཁའ་འགྲོའི་ཚོགས་དང་སྐལ་མཉམ་ཤོག	né sum khandrö tsok dang kal nyam shok
གནས་གསུམ་མཁའ་འགྲོའི་རྒྱུ་སྐར་བཀྲ་བའི་དབུས	né sum khandrö gyukar trawé ü
གནས་གསུམ་མཁའ་འགྲོའི་རྗེ་མོ་ཁྲོས་མ་ནག	né sum khandrö jemo tröma nak
གནས་གསུམ་མཁའ་འགྲོའི་སྤྲིན་གྱི་ཚོགས་དབུས་སུ	né sum khandrö trin gyi tsok ü su
གནས་གསུམ་འབྲུ་གསུམ་གསལ་བ་དང	né sum dru sum salwa dang
གནས་གསུམ་འབྲུ་གསུམ་ཐུགས་དབུས་སུ	né sum dru sum tuk ü su
གནས་གསུམ་འབྲུ་གསུམ་འོད་ཟེར་གྱིས	né sum dru sum özer gyi
གནས་གསུམ་འབྲུ་གསུམ་འོད་འཕྲོས་པས	né sum dru sum ö tröpé
གནས་གསུམ་ཡི་གེ་གསུམ་གྱིས་མཚན	né sum yigé sum gyi tsen
གནས་གསུམ་ཡི་གེ་གསུམ་གྱིས་མཚན་པ་ལས	né sum yigé sum gyi tsenpa lé
གནས་གསུམ་ཡི་གེ་འབྲུ་གསུམ་དང	né sum yigé dru sum dang
གནས་གསུམ་ཡི་གེ་འབྲུ་གསུམ་དང་	né sum yigé dru sum dang
གནས་གསུམ་ཡི་གེ་འབྲུ་གསུམ་ལས	né sum yigé dru sum lé
གནས་གསུམ་ཡི་གེའི་འཕྲོ་འདུ་ལས	né sum yigé trodu lé
གནས་གསུམ་ཡི་གེས་ཡེ་ཤེས་སྤྱན་དྲངས་བསྟིམ	né sum yigé yeshe chendrang tim
གནས་གསུམ་ཡིག་འབྲུ་གསུམ་གྱིས་མཚན	né sum yikdru sum gyi tsen
གནས་གསུམ་ཡིག་འབྲུ་གསུམ་འོད་ཀྱིས	né sum yikdru sum ö kyi
གནས་གསུམ་ཡིག་འབྲུ་གསུམ་ལས་ནི	né sum yikdru sum lé ni
གནས་གསུམ་ཡེ་ཤེས་ཌཱ་ཀིའི་ཚོགས་ཀྱི་རྗེ	né sum yeshe daki tsok kyi jé
གནས་གསུམ་རིམ་དང་ཅིག་ཆར་ཐིམ	né sum rim dang chikchar tim
གནས་གསུམ་རྡོ་རྗེ་གསུམ་གྱི་ས་བོན་ལས	né sum dorjé sum gyi sabön lé
གནས་གསུམ་རྡོ་རྗེ་གསུམ་གྱིས་མཚན	né sum dorjé sum gyi tsen
གནས་གསུམ་རྡོ་རྗེའི་འབྲུ་གསུམ་མཚན	né sum dorjé dru sum tsen
གནས་གསུམ་རྡོ་རྗེའི་འབྲུ་གསུམ་མཚན༔	né sum dorjé dru sum tsen
གནས་གསུམ་རྡོ་རྗེའི་འབྲུ་གསུམ་ལས	né sum dorjé dru sum lé
གནས་གསུམ་ལྷ་ཡི་སྐུ་ལས་འོད་ཟེར་འཕྲོས	né sum lha yi ku lé özer trö
གནས་གསུམ་སྤྲུལ་པའི་དཀྱིལ་འཁོར་ནས	damtsik drolma naljorma
གནས་གསུམ་ཨོཾ་དཀར་ཨཱཿདམར་ཧཱུྃ་མཐིང་ལས	né sum om kar ah mar hung ting lé
གནས་གསུམ་ཨོཾ་ཨཱཿ་ཧཱུྂ་གི་འོད་ཟེར་གྱིས	né sum om ah hung gi özer gyi
གནས་གསུམ་ཨོཾ་ཨཱཿཧཱུྃ་གསུམ་དང	né sum om ah hung sum dang
གནས་གསུམ་ཨོཾ་ཨཱཿཧཱུྃ་གསུམ་དང་	né sum om ah hung sum dang
གནས་གསུམ་ཨོཾ་ཨཱཿཧཱུྃ་གི་འོད་ཟེར་གྱིས	né sum om ah hung gi özer gyi
གནས་གསུམ་ཨོཾ་ཨཱཿཧཱུྃ་དང་དྷཱིཿཡིག་གིས	né sum om ah hung dang dhih yik gi
གནས་གྲོ་བོ་ལུང་གི་དགོན་པ་དང	né drowo lung gi gönpa dang
གནས་གྲོགས་འདུ་འཛི་རྐྱེན་ངན་ལ་སོགས་པ་བྱང་ཆུབ་བསྒྲུབ་པའི་བར་ཆད་ཀྱི་དབང་དུ་མི་འགྲོ་བར་དཀོན་མཆོག་གསུམ་གྱི་སྐྱབས་འོག་ཏུ་ཚུད་དེ་སྐྱེས་བུ་གསུམ་གྱི་ལམ་ལ་སློབ་པར་ཤོག་ཅིག	né drok dudzi kyen ngen lasokpa changchub drubpé barché kyi wang du midrowar könchok sum gyi kyab oktu tsü dé kyebu sum gyi lam la lobpar shok chik
གནས་གྲོགས་ལོངས་སྤྱོད་བཟའ་བཏུང་ཕུན་སུམ་ཚོགས་པ་དང་ཕྲད་ནས་བག་ཕེབས་པར་གྱུར་ཅིག	né drok longchö zatung pünsum tsokpa dang tré né bakpebpar gyur chik
གནས་ངན་ལེན་གྱི་རྣམ་རྟོག་ངན་པ་རྣམས	né ngen len gyi namtok ngenpa nam
གནས་ངན་ལེན་གྱིས་རྒྱུན་ཐག་གཅོད་པའི་ཕྱིར	né ngen len gyi gyün tak chöpé chir
གནས་ངན་ལེན་ལ་སྲས་བཅས་རྒྱལ་བ་ཡི	né ngen len la sé ché gyalwa yi
གནས་ཆུང་རྒྱལ་པོ་འཁོར་དང་ཡང་འཁོར་བཅས	nechung gyalpo khor dang yang khor ché
གནས་ཆེན་ཀུན་བྱོན་ལྷ་རྟེན་ཐམས་ཅད་ལ	né chen kun jön lha ten tamché la
གནས་ཆེན་གངས་བྲག་རྣམས་ལ་གཏེར་ཆེན་སྦས༔	né chen gang drak nam la terchen bé
གནས་ཆེན་བརྒྱ་རྩ་གནས་ཕྲན་བྱེ་བ་བདུན	né chen gya tsa né tren jewa dün
གནས་ཆེན་རི་བོ་ཏ་ལའི་ཕོ་བྲང་དུ༔	né chen riwo talé podrang du
གནས་ཆེན་རི་བོ་རྩེ་ལྔའི་ཞིང་ཁམས་སུ	né chen riwo tsé ngé zhing kham su
གནས་ཆེན་རི་བོ་རྩེ་ལྔའི་ཞིང་ཁམས་སུ	né chen riwo tsé ngé zhingkham su
གནས་ཆེན་རྡོ་རྗེ་གདན་གྱི་ནུབ་བྱང་མཚམས	né chen dorjé den gyi nubjang tsam
གནས་ཆེན་རྡོ་རྗེ་གདན་གྱི་ནུབ་བྱང་མཚམས༔	né chen dorjé den gyi nubjang tsam
གནས་ཆེན་སུམ་ཅུ་རྩ་བདུན་ན	né chen sumchu tsa dün na
གནས་དག་པའི་ཞིང་མཆོག་བདེ་བ་ཅན་དུ	né dakpé zhing chok dewachen du
གནས་དང་གཏེར་གྱི་བདག་པོ་ཆེ་རྣམས་སོགས	né dang ter gyi dakpo ché nam sok
གནས་དང་ཉེ་གནས་ཞིང་དང་ཉེ	né dang nyené zhing dang nyé
གནས་དང་ཉེ་བའི་ཞིང་ཁམས་སུ	né dang nyéwé zhing kham su
གནས་དང་ཡུལ་གྱི་ཕྱག་རྒྱ་སྒོ་མ་བཞི	né dang yul gyi chakgya go ma zhi
གནས་དང་ཡུལ་གྱི་ཕྱག་རྒྱ་སྒོ་མ་བཞི	né dang yul gyi chakgya goma zhi
གནས་དང་ཡུལ་གྱི་ཕྱག་རྒྱ་སྒོ་མ་བཞི༔	né dang yul gyi chakgya goma zhi
གནས་དེ་དྲན་པ་ཙམ་གྱིས་བདེ་ཆེན་ཐོབ༔	né dé drenpa tsam gyi dechen tob
གནས་དེ་ལ་ནི་བདག་ཕྱག་འཚལ	né dé la ni dak chak tsal
གནས་དེར་ཕྱིན་པ་ཙམ་གྱིས་བྱང་ཆུབ་ཐོབ༔	né der chinpa tsam gyi changchub tob
གནས་དེར་བྱང་ཆུབ་སྤྱོད་པའི་སྐུ་གདུང་བྱོན	né der chang chub chöpé ku dung jön
གནས་ནས་རྩ་གསུམ་རྒྱ་མཚོའི་དགྱེས་གཡང་ཁུག	né né tsa sum gyatsö gyé yangkhuk
གནས་ནོར་རྫས་འཛོམ་པའི་བདག་པོ་དེ	né nordzé dzompé dakpo dé
གནས་པའི་དཔའ་བོ་ཌཱཀྐི་ཆོས་སྲུང་ཚོགས༔	nepé pawo daki chösung tsok
གནས་པའི་དབང་ཕྱུག་གིང་ལངྐ་༔	nepé wangchuk ging langka
གནས་བཅས་འཇིགས་པས་གཙེས་པའི་དུས	né ché jikpé tsepé dü
གནས་བདེ་གསལ་འཕྲོ་ཡང་ཡང་བཤིག	né dé sal tro yang yang shik
གནས་བཞིར་ཡི་གེ་བཞི་འོད་འཕྲོས	nezhir yigé zhi ö trö
གནས་བཞིར་ཨོཾ་ཨཱཿཧཱུྃ་ཧྲཱིཿགསལ༔	nezhir om ah hung hrih sal
གནས་བརྟན་ཆེན་པོ་བཅུ་དྲུག་དང	neten chenpo chudruk dang
གནས་བརྟན་ཆེན་པོ་བཅུ་དྲུག་འཁོར་དགྲ་བཅོམ་པའི་ཚོགས་བསམ་གྱིས་མི་ཁྱབ་པ་དང་བཅས་པ་རྣམས་ལ་འབུལ་ལོ	neten chenpo chudruk khor drachompé tsok sam gyi mi khyabpa dang chepa nam la bul lo
གནས་བརྟན་ཆེན་པོ་བཅུ་དྲུག་ལ་སོགས་པ	neten chenpo chudruk lasokpa
གནས་བརྟན་ཆེན་པོ་འཕགས་པ་འོད་སྲུང་སོགས	neten chenpo pakpa ösung sok
གནས་བརྟན་བཅུ་དྲུག་གཏད་རབས་ཆེན་པོ་བདུན	neten chudruk té rab chenpo dün
གནས་བརྟན་མཁས་པའི་དབང་པོ་བསོད་ནམས་གྲགས	neten khepé wangpo sönam drak
གནས་བརྟན་རྡོ་རྗེ་མོ་ཡི་བུ	neten dorje mo yi bu
གནས་མ་ཆེན་མོ་ཀེའུ་རཱི་མ	né ma chenmo ké'u ri ma
གནས་མ་ཆེན་མོ་གསྨ་རཱི	né ma chenmo gasmari
གནས་མ་ཆེན་མོ་པུཀྐ་སཱི	né ma chenmo pukkasi
གནས་མ་ཆེན་མོ་པྲ་མོ་ཧ	né ma chenmo pramoha
གནས་མ་ཆེན་མོ་བེ་ཏ་ལཱི	né ma chenmo bé ta li
གནས་མ་ཆེན་མོ་ཙཎྜ་ལཱི	né ma chenmo tsendali
གནས་མ་ཆེན་མོ་ཙཽ་རཱི་མ	né ma chenmo tsaurima
གནས་མ་དུར་ཁྲོད་བདག་མོ་གནས	né ma durtrö dakmo né
གནས་མགྲོན་གཉིས་ཀྱི་དམ་ཚིག་ཐུབ་པར་སྲུངས	né drön nyi kyi damtsik tubpar sung
གནས་མཆོག་ཁ་ཆེའི་ཡུལ་ན་ནི	nechok khaché yul na ni
